student_id,session_id,activity_type,activity_score,response_time,mistakes_count,feedback_rating,audio_features,writing_features,interaction_duration,device_type,timestamp,environment_temp,environment_noise_level,performance_category
16,372d61ac-b8d2-4d4f-8431-48618f63b84f,speaking,74.98,9.61,2,4,"[0.7587945476302645, 0.6387926357773329, 0.24041677639819287, 0.2403950683025824, 0.15227525095137953]","[86.61761457749351, 60.11150117432088, 70.80725777960456]",6.13,tablet,2024-03-25 04:20:37,24.85,54.97,0
56,b9dc345a-70c9-40db-bec1-f3ff53a49d98,writing,68.49,3.45,4,5,"[0.2650640588680905, 0.373818018663584, 0.5722807884690141, 0.48875051677790415, 0.36210622617823773]","[61.18528947223795, 13.949386065204184, 29.214464853521815]",25.15,tablet,2024-08-23 19:14:01,22.28,53.56,0
78,571981fb-554f-4bf4-ba68-141d54053f5c,speaking,67.99,6.11,1,4,"[0.6331731119758383, 0.14180537144799796, 0.6467903667112945, 0.2534717113185624, 0.1585464336867516]","[94.88855372533332, 96.56320330745594, 80.83973481164611]",21.75,smartboard,2024-11-29 10:55:03,20.49,50.53,0
59,2a1e70db-4153-4417-b12d-e450db2300de,writing,77.61,2.98,4,5,"[0.5456592191001431, 0.13094966900369656, 0.9183883618709039, 0.3329019834400152, 0.6962700559185838]","[31.171107608941096, 52.00680211778108, 54.67102793432797]",15.17,smartboard,2024-03-13 11:53:48,24.85,53.25,0
74,0facd258-25df-419a-9d39-7377a37c120c,reading,97.58,9.16,0,3,"[0.6381099809299766, 0.9296868115208051, 0.17964325184672755, 0.27638457617723067, 0.14070456001948428]","[32.53303307632643, 38.8677289689482, 27.134903177389592]",50.58,wearable,2024-02-28 07:38:43,21.78,38.43,1
100,bc3134fa-e853-46b4-b097-d9a9570b0439,speaking,81.71,3.13,1,3,"[0.8219772826786357, 0.16709557931179375, 0.9881982429404655, 0.7950202923669917, 0.2788441133807552]","[0.5522117123602399, 81.54614284548342, 70.68573438476172]",45.1,smartboard,2024-09-16 17:37:48,23.86,32.22,0
64,eb7f3e74-d90c-453e-8ecf-600b9fcdf79f,speaking,74.34,2.93,3,1,"[0.8767930832880342, 0.6609683141448022, 0.39780822236738433, 0.1572025152574213, 0.379884089544096]","[32.518332202674706, 72.96061783380641, 63.75574713552131]",53.8,tablet,2024-08-12 02:07:29,22.36,33.59,0
43,a230c478-6140-4573-9ba8-70060a92b794,reading,88.53,8.09,4,1,"[0.6051494778125466, 0.7938704619591049, 0.5444160367279517, 0.5704595464437947, 0.4847869165226947]","[2.541912674409519, 10.789142699330444, 3.142918568673425]",40.0,wearable,2024-03-06 08:18:10,21.57,45.26,1
80,87ff050d-f62a-418c-94b4-7e04a88cf82d,listening,96.3,3.99,5,1,"[0.4693446307320668, 0.7799960246887438, 0.3059183489424602, 0.1692819188459137, 0.3607763076223912]","[16.122128725400444, 92.96976523425731, 80.8120379564417]",39.84,smartboard,2024-12-01 12:40:45,24.36,54.11,1
59,11b29612-5421-47a0-890a-2d2dda852bce,speaking,67.46,9.14,0,3,"[0.5854080177240857, 0.8266961396476563, 0.9064821699311439, 0.38620312747467755, 0.19904673207490908]","[22.793516254194166, 42.71077886262563, 81.80147659224932]",52.34,wearable,2024-07-07 12:46:34,20.03,45.32,0
80,157b6783-583f-4ebf-8101-18cc4d05220c,writing,76.7,3.78,4,4,"[0.20787883060031453, 0.40385365426326514, 0.9486187335212672, 0.3908826388186797, 0.5669115595690295]","[70.30189588951778, 36.3629602379294, 97.17820827209607]",57.93,smartboard,2024-01-08 13:05:22,21.26,44.92,0
