adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/bHkn3yuOFdu5LJcq67Odofhx6cb.jpg,"[28, 14, 35]",845781,en,Red One,"크리스마스 D-1, 철통같은 보안을 뚫고 코드명 '레드 원' 산타클로스가 납치되고 크리스마스가 사라질 위기에 처했다! '레드 원'을 찾기 위해 사령관 '칼럼 드리프트'는 산타클로스 따위는 없다고 믿는 현상금 사냥꾼 '잭 오말리'와 협력하기로 한다. 시작부터 삐그덕 거리는 이들 앞에 크리스마스의 존재를 위협하는 위험천만한 적들이 나타나는데…",6624.443,/4zNUNhVpSqFggxqvdSXDRzy1QwE.jpg,2024-10-31,레드 원,False,6.958,825
False,/tElnmtQ6yz1PjN1kePNl8yMSb59.jpg,"[16, 12, 10751, 35]",1241982,en,Moana 2,바다를 누볐던 선조들에게서 예기치 못한 부름을 받은 모아나가 마우이와 다시 만나 새로운 선원들과 함께 오랫동안 잊혀진 멀고 위험한 바다 너머로 떠나는 특별한 모험을 담은 이야기,3030.394,/2WVvPcVRqfjyVzIUVIcszGb6zT4.jpg,2024-11-21,모아나 2,False,6.9,515
False,/au3o84ub27qTZiMiEc9UYzN74V3.jpg,"[28, 878, 53]",1035048,en,Elevation,한 명의 싱글파더와 두 명의 여성이 어린 소년의 생명을 구하기 위해 집이라는 안전한 공간을 떠나 괴물 같은 생명체들과 맞서게 된다.,1565.309,/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg,2024-11-07,엘리베이션,False,6.435,170
False,/ag66gJCiZ06q1GSJuQlhGLi3Udx.jpg,"[27, 53]",1138194,en,Heretic,"콜로라도의 작은 마을을 방문한 두 명의 젊은 몰몬교 여성 선교사들이 주민에게 복음을 전파하기 위해 집집마다 방문 중에 매력적인 리드 씨라는 인물을 만나게 되고, 그의 집에서 예상치 못한 위험에 휩싸이게 된다.",1329.705,/5HJqjCTcaE1TFwnNh3Dn21be2es.jpg,2024-10-31,헤러틱,False,7.168,380
False,/nOoGIymGBNtA7AEN0B6nshSEQ1p.jpg,"[28, 80, 53]",974453,en,Absolution,,1233.472,/cNtAslrDhk1i3IOZ16vF7df6lMy.jpg,2024-10-31,앱솔루션,False,6.096,135
False,/v9Du2HC3hlknAvGlWhquRbeifwW.jpg,"[28, 12, 53]",539972,en,Kraven the Hunter,죽음의 문턱에서 맹수의 초인적인 힘을 얻고 살아 돌아온 크레이븐이 무자비한 복수의 길을 택하며 거침없는 사냥을 펼치는 액션 블록버스터,1177.335,/bA45ooXcp2B2qnMePfZ9QDL4wR5.jpg,2024-12-11,크레이븐 더 헌터,False,5.785,100
False,/rWs3Q9bT7zCH6t004z67UGuWUwu.jpg,"[16, 35, 10751, 14, 12]",645757,en,That Christmas,역사상 최악의 눈보라가 산타클로스를 포함한 모두의 계획을 틀어지게 한 그날. 웰링턴온씨 마을 사람들에게 잊지 못할 크리스마스가 펼쳐진다.,815.225,/p6O13TK2JzEZAvKFkjJisz1tkYl.jpg,2024-11-27,그해 크리스마스에는,False,7.5,138
False,/evFChfYeD2LqobEJf8iQsrYcGTw.jpg,"[28, 80, 53]",1182387,en,Armor,,921.497,/pnXLFioDeftqjlCVlRmXvIdMsdP.jpg,2024-10-30,Armor,False,5.567,75
False,/m2hs6YPVrzjvRC21SE9BeXtgqFW.jpg,"[16, 9648, 878, 28]",1299652,en,Watchmen: Chapter II,,803.613,/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg,2024-11-25,왓치맨: 챕터 2,False,7.6,51
False,/fyeyxFzZ3qYqDsaMVYF6sq3pp2n.jpg,"[28, 12, 53]",1167271,en,Weekend in Taipei,,871.455,/qSc0AUvs8mRy00R9y8QYEHWIAQ9.jpg,2024-09-19,타이베이에서의 주말,False,6.1,75
