,timestamp,gender,age,experience,company_type,is_it_industry,occupation,current_roles,issues_with_non_dev,issues_with_dev,collaboration_feedback,use_service_intent,reason_for_intent,selected_roles,issues_with_dev_comms,collaboration_ideas,service_usage_intent,reason_for_usage_intent
0,2025/01/10 5:06:47 오후 GMT+9,남성,20대,1년 미만,스타트업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;Front-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.,기술적 용어 차이로 인해 소통이 어렵다.,,예,도움될거같아서,,,,,
1,2025/01/10 5:22:21 오후 GMT+9,남성,20대,1년~3년,중소기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.,업무 우선순위가 달라 갈등이 생긴다.;타 개발환경에 대한 이해도가 부족하다.,협업을 위해선 서로 개발 비개발 직군에 대한 이해도를 높이도록 이해해가며 노력해나가기,예,"타 개발 직군이 어떤 용어를 주로 사용하고, 환경을 어떻게 구성해가는지 이해할 수 있다면 실제 개발할 때 도움이 될 거 같다.",,,,,
2,2025/01/10 5:23:07 오후 GMT+9,남성,20대,1년~3년,대기업,아니오,개발자 (데이터·인프라 직군 포함),시스템 엔지니어,요구사항이 불명확하여 업무가 지연된다.,기술적 용어 차이로 인해 소통이 어렵다.;업무 우선순위가 달라 갈등이 생긴다.,"듣는 사람의 수준을 고려한 의견 전달이 필요하고, 협업을 위해 타분야에 대한 이해도를 높이는 과정이 중요하다고 생각합니다",예,소프트웨어 분야의 트렌드를 익히고 배경 지식을 쌓아두는 역량은 모든 산업 분야에서 중요한 역량이라고 생각합니다.,,,,,
3,2025/01/10 5:28:12 오후 GMT+9,남성,30대,1년~3년,스타트업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;Front-end 개발자,기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.,기술적 용어 차이로 인해 소통이 어렵다.;타 개발환경에 대한 이해도가 부족하다.,용어를 사용할 때 서로가 이해할 수 있는 정확한 용어를 사용하면 소통간 오해가 줄어들거라 생각합니다.,예,특히 비 개발 직군과 대화를 할 때 이해를 돕기 위한 적절한 단어 / 비유를 찾는 것에 신경을 쓰는 편인데 개발 용어를 사용했을 때 이해할 정도만 되어도 서로에게 굉장히 도움이 될 거 같아요.,,,,,
4,2025/01/10 5:32:27 오후 GMT+9,여성,20대,1년~3년,중소기업,아니오,개발자 (데이터·인프라 직군 포함),Front-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;요구사항이 불명확하여 업무가 지연된다.,타 개발환경에 대한 이해도가 부족하다.,비개발직군 분들이 개발 업무에 대한 이해도를 높이고 업무를 전달해줬으면 좋겠습니다,예,"백이나 통합인프라 부분이랑 협업할 일은 많은데, 그쪽에 대한 용어 지식은 별로 없습니다 근데 또 그부분을 공부하고 싶지는 않아서 간단하게 알 수 있으면 좋을 것 같습니다",,,,,
5,2025/01/10 5:32:57 오후 GMT+9,남성,20대,1년 미만,대기업,예,개발자 (데이터·인프라 직군 포함),인프라 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,타 개발환경에 대한 이해도가 부족하다.,"회사의 비즈니스가 어떤 업종인가에 따라 많이 달라지는 것 같습니다.
IT 업종의 경우엔 비개발직군 또한 업무 성향 때문에 회사에서 교육을 많이 해주는 것 때문에 소통이 나름 잘 되는 것 같습니다. 그 외에 업종에선 경험해보진 않았지만 그러한 체계가 부족한 것 같습니다.
회사 차원에서 서로를 이해할 수 있도록 체계화된 교육이 필요할 것 같습니다.",예,위에 답변으로 설명이 될 것 같습니다.,,,,,
6,2025/01/10 5:37:08 오후 GMT+9,남성,30대,1년 미만,중소기업,아니오,비개발자,,,,,,,기획자,어려움을 겪지 않는다.,,아니오,⁶ㅛ
7,2025/01/10 5:37:26 오후 GMT+9,여성,40대,5년 이상,프리랜서,예,비개발자,,,,,,,기획자,기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.,기획자나 개발자나 프로덕트 or 프로세스 전체를 보는 눈이 필요함. ,아니오,"학습 내용이 뭔지 모르겠지만 저는 학습할 필요는 없는 수준임. 
그리고 학습을 하려면 비슷한 레벨의 멤버로 구성하고 시니어 한둘이 포함되어야 도움이 될듯 "
8,2025/01/10 5:39:22 오후 GMT+9,남성,20대,1년 미만,대기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;데이터 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.,기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.,,예,출근할때 잠깐 들으면 좋을거같다,,,,,
9,2025/01/10 5:41:14 오후 GMT+9,남성,30대,1년~3년,대기업,아니오,개발자 (데이터·인프라 직군 포함),임베디드 개발자,업무 진행 속도와 기대치가 달라 협업이 어려워진다.,어려움을 겪지 않는다.;Role의 명확화가 필요,"각 팀의 role을 명확히 하고, 이슈 발생시 미리미리 이야기 해준다",예,It 용어 및 문법은 많이 알수록 좋기때문에,,,,,
